BaseAddress: 0x113614000
Init Dumping...
Total Assemblies: 170
Assembly Assembly-CSharp.dll: 5478 classes
Assembly mscorlib.dll: 1742 classes
Assembly UnityEngine.UIElementsModule.dll: 1092 classes
Assembly System.Xml.dll: 751 classes
Assembly System.dll: 964 classes
Assembly Unity.InputSystem.dll: 518 classes
Assembly Unity.Barracuda.dll: 511 classes
Assembly UnityEngine.CoreModule.dll: 815 classes
Assembly System.Data.dll: 238 classes
Assembly Newtonsoft.Json.dll: 413 classes
Assembly Assembly-CSharp-firstpass.dll: 381 classes
Assembly System.Core.dll: 632 classes
Assembly Obi.dll: 451 classes
Assembly UniTask.dll: 433 classes
Assembly NGUI.dll: 248 classes
Assembly GraphAndChart.dll: 289 classes
Assembly Unity.TextMeshPro.dll: 142 classes
Assembly Sirenix.Serialization.dll: 274 classes
Assembly Google.Protobuf.dll: 224 classes
Assembly UnityEngine.UI.dll: 192 classes
Assembly EasySave3.dll: 196 classes
Assembly UnityEngine.TextCoreTextEngineModule.dll: 68 classes
Assembly Photon3Unity3D.dll: 97 classes
Assembly Unity.Barracuda.ONNX.dll: 76 classes
Assembly UnityDebugSheet.dll: 217 classes
Assembly Unity.ResourceManager.dll: 139 classes
Assembly Sirenix.Utilities.dll: 133 classes
Assembly Unity.Postprocessing.Runtime.dll: 131 classes
Assembly UnityEngine.Purchasing.Stores.dll: 235 classes
Assembly ACTk.Runtime.dll: 102 classes
Assembly Mono.Security.dll: 104 classes
Assembly AmazingAssets.TerrainToMesh.dll: 18 classes
Assembly UniRx.dll: 228 classes
Assembly Unity.Addressables.dll: 94 classes
Assembly UnityEngine.IMGUIModule.dll: 47 classes
Assembly AK.Wwise.Unity.API.dll: 103 classes
Assembly PhotonUnityNetworking.dll: 66 classes
Assembly System.Collections.Immutable.dll: 88 classes
Assembly MemoryPack.Core.dll: 144 classes
Assembly ch.sycoforge.Decal.dll: 65 classes
Assembly UnityEngine.ParticleSystemModule.dll: 78 classes
Assembly PhotonRealtime.dll: 62 classes
Assembly CPM.CommonUtility.dll: 71 classes
Assembly DOTween.dll: 110 classes
Assembly AlmostEngine.dll: 107 classes
Assembly UnityEngine.dll: 1 classes
Assembly Unity.Timeline.dll: 68 classes
Assembly VContainer.dll: 135 classes
Assembly Unity.Splines.dll: 57 classes
Assembly Unity.Collections.dll: 115 classes
Assembly UnityEngine.PhysicsModule.dll: 47 classes
Assembly Coffee.SoftMaskForUGUI.dll: 58 classes
Assembly AK.Wwise.Unity.MonoBehaviour.dll: 65 classes
Assembly UnityEngine.AnimationModule.dll: 60 classes
Assembly PhotonUnityNetworking.Utilities.dll: 54 classes
Assembly Unity.Mathematics.dll: 26 classes
Assembly UnityEngine.AndroidJNIModule.dll: 15 classes
Assembly System.Numerics.dll: 24 classes
Assembly CPM.Backend.Services.dll: 72 classes
Assembly UnityEngine.PropertiesModule.dll: 104 classes
Assembly System.Drawing.dll: 11 classes
Assembly UnityEngine.UnityWebRequestModule.dll: 15 classes
Assembly FirebaseNoSdk.dll: 71 classes
Assembly UnityEngine.Purchasing.dll: 76 classes
Assembly Newtonsoft.Json.UnityConverters.dll: 47 classes
Assembly CPM.Account.dll: 39 classes
Assembly Sirenix.OdinInspector.Attributes.dll: 128 classes
